OBJECTID,MOID,MOTYPE,SELCODE,DSPCODE,UDFTYPE,LDMTYPE,ID,DESCRIPT,YR_INST,YR_RETIRE,ZONE,MATERIAL,LINING,COST_ID,PHASE,ID_1,LENGTH,DIAMETER,ROUGHNESS,MINORLOSS,TOTALIZER,CHK_VALVE,ID_12,DIRECTION,RUN_DIAM,RUN_LENGTH,RUN_ROUGH,FLOW,VELOCITY,HEADLOSS,HL1000,STATUS,MAX_FLOW,MIN_FLOW,AVE_FLOW,MAX_VELOC,MIN_VELOC,AVE_VELOC,MAX_HDLOSS,MIN_HDLOSS,AVE_HDLOSS,SHAPE_Length,Crtical_Xing
375,P1539,0,,,,,P1539,Ductile Iron,,,,,,,,P1539,823.8513876,6,130,,0,0,P1539,0,6,823.85,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,823.8513876,0
376,P1541,0,,,,,P1541,Ductile Iron,,,,,,,,P1541,197.0727972,6,130,,0,0,P1541,-1,6,197.07,130,7.45,0.08,0,0.01,1,7.45,7.45,7.45,0.08,0.08,0.08,0,0,0,197.0727972,0
377,P1543,0,,,,,P1543,Galvanized Iron,,,,,,,,P1543,433.9023649,2,130,,0,0,P1543,1,2,433.9,130,1.18,0.12,0.03,0.06,1,1.18,1.18,1.18,0.12,0.12,0.12,0.03,0.03,0.03,433.9023649,0
378,P1545,0,,,,,P1545,Galvanized Iron,,,,,,,,P1545,29.97992281,2,130,,0,0,P1545,-1,2,29.98,130,1.47,0.15,0,0.09,1,1.47,1.47,1.47,0.15,0.15,0.15,0,0,0,29.97992281,0
379,P1547,0,,,,,P1547,Galvanized Iron,,,,,,,,P1547,295.0592761,2,130,,0,0,P1547,-1,2,295.06,130,1.47,0.15,0.03,0.09,1,1.47,1.47,1.47,0.15,0.15,0.15,0.03,0.03,0.03,295.0592761,0
380,P1549,0,,,,,P1549,Galvanized Iron,,,,,,,,P1549,207.2291682,2,130,,0,0,P1549,1,2,207.23,130,1.8,0.18,0.03,0.13,1,1.8,1.8,1.8,0.18,0.18,0.18,0.03,0.03,0.03,207.2291682,0
381,P1551,0,,,,,P1551,Galvanized Iron,,,,,,,,P1551,18.51216142,2,130,,0,0,P1551,1,2,18.51,130,1.8,0.18,0,0.13,1,1.8,1.8,1.8,0.18,0.18,0.18,0,0,0,18.51216142,0
382,P1553,0,,,,,P1553,Galvanized Iron,,,,,,,,P1553,147.9506559,2,130,,0,0,P1553,1,2,147.95,130,0.14,0.01,0,0,1,0.14,0.14,0.14,0.01,0.01,0.01,0,0,0,147.9506559,0
383,P1555,0,,,,,P1555,Ductile Iron,,,,,,,,P1555,16.65931746,6,130,,0,0,P1555,-1,6,16.66,130,34.6,0.39,0,0.15,1,34.6,34.6,34.6,0.39,0.39,0.39,0,0,0,16.65931746,0
384,P1557,0,,,,,P1557,Ductile Iron,,,,,,,,P1557,718.3100878,6,130,,0,0,P1557,-1,6,718.31,130,34.6,0.39,0.1,0.15,1,34.6,34.6,34.6,0.39,0.39,0.39,0.1,0.1,0.1,718.3100878,0
385,P1559,0,,,,,P1559,Ductile Iron,,,,,,,,P1559,46.0072856,6,130,,0,0,P1559,-1,6,46.01,130,34.6,0.39,0.01,0.15,1,34.6,34.6,34.6,0.39,0.39,0.39,0.01,0.01,0.01,46.0072856,0
386,P1561,0,,,,,P1561,Ductile Iron,,,,,,,,P1561,13.10681107,6,130,,0,0,P1561,-1,6,13.11,130,34.6,0.39,0,0.14,1,34.6,34.6,34.6,0.39,0.39,0.39,0,0,0,13.10681107,0
387,P_INTERCONNECTION,0,,,,,P_INTERCONNECTION,Water Authority Interconnection Pipe,,,,,,,,P_INTERCONNECTION,579,6,130,0,0,0,P_INTERCONNECTION,-1,6,579,130,36.81,0.42,0.09,0.16,1,36.81,36.81,36.81,0.42,0.42,0.42,0.09,0.09,0.09,579.7084383,0
388,P2337,0,,,,,P2337,RTE 33 Interconnect,,,,,,,,P2337,100,6,130,0,0,0,P2337,1,6,100,130,27.2,0.31,0.01,0.09,1,27.2,27.2,27.2,0.31,0.31,0.31,0.01,0.01,0.01,137.5537345,0
