Investment_Cost,Risk_Cost,Budget,PM_Start,PM_Stop,Rehab_Trigger,Split_Ratio,Total_Cost
20516286.563604727,4962551.975895501,522343.9512891981,3.383693715542028,2.2259518754910594,1.6078395880364942,0.8718680334166954,25478838.53950023
14200555.650033617,13154098.200345498,219664.9429470889,3.997341287566102,2.222197922199821,1.2279403708846248,0.8730197573824325,27354653.850379117
13890433.063160308,17930415.70299499,140597.6035213815,3.7157510753837295,3.4548121591939283,1.9462537549556975,0.8732135104754603,31820848.7661553
13930135.773430148,15108672.6665255,140373.61064854063,3.988512587206227,2.2259518754910594,1.9818738575130976,0.8975722664850928,29038808.439955648
20862083.670550197,4813382.398860001,541604.9558226478,3.383693715542028,2.2259518754910594,1.6053483788542673,0.871814848138376,25675466.069410197
15896317.430591386,9874278.132510003,244344.7630051131,3.988512587206227,2.2259518754910594,1.4749950222558332,0.8718680334166954,25770595.56310139
13603214.888378741,20117610.198950008,140373.61064854063,3.988512587206227,2.2259518754910594,1.6117421276366353,0.8954772270744893,33720825.08732875
11304656.165768653,31981553.3376705,120756.89690828112,3.2472464082004953,2.1846753366491325,1.2161824023391699,0.8750998793003825,43286209.50343916
13751053.052202811,19427208.352629993,141653.04088316552,3.9931904307860338,2.659931719575264,1.6039883124136438,0.8975722664850928,33178261.404832803
12346846.452875288,27928641.63582051,124756.86301449461,3.9885125111072797,2.081525909260271,1.6117421276366353,0.8954772270744893,40275488.0886958
16066222.556752523,8737743.0012105,229617.24971281755,3.7105408933905006,3.5530371373816765,1.4851398940922615,0.8732135104754603,24803965.55796302
1288739.2380121592,36727460.30254553,16743.286684237624,3.9229807369800893,2.675970961325741,1.623569666213073,0.3068517333697251,38016199.54055769
13650205.563231083,19824071.67900501,139875.78441202242,3.9885125879253973,2.0658520622988936,1.6130914749013963,0.8976005659651325,33474277.242236093
20744775.068776537,4878301.526225503,541604.9558226478,3.383693715542028,2.2259518754910594,1.6052926956832716,0.8718145541877023,25623076.59500204
1306032.5940260328,36549602.42787,16743.286684237624,3.931105976993451,2.224872370795613,1.6140355938229267,0.3068517333697251,37855635.021896034
16605622.273813859,7290036.763274999,244344.7630051131,3.988512587206227,2.226427589535073,1.4749950222558332,0.8718680334166954,23895659.037088856
574075.4541793289,37137768.7922855,8244.216576746025,3.890210816055468,2.2262428415749924,1.60789527120749,0.8718683273673691,37711844.24646483
1774453.8464194906,36334468.64224052,21154.845594702347,3.9229807369800893,2.666561619321864,1.6140355938229267,0.31700943743960386,38108922.48866001
12176194.417152364,28043737.015091,123031.76662987235,3.9931904307860338,2.659931719575264,1.6039883124136438,0.8975722664850928,40219931.43224336
11704053.471112153,29829702.22049049,118236.57116334084,3.988512587206227,2.1857801330094637,1.9642390088924264,0.8987623810753236,41533755.69160264
11162868.265603438,33146964.493005,112932.91530659678,3.891881391181973,2.223258324808239,1.6247577653147343,0.8718680334166954,44309832.75860844
13072469.404212106,25355477.405450497,133582.19040092276,3.9229807369800893,2.666561619321864,1.6138394333494515,0.8986700765653113,38427946.8096626
2432391.7556263246,36245365.9669105,27483.85914005017,3.995618271887318,3.4573603641877972,1.6276843862121626,0.2741622609097455,38677757.72253682
16301556.962746186,8546832.827025503,244344.7630051131,3.9849687245161753,2.226427589535073,1.475361484254905,0.8718694765729786,24848389.78977169
19687466.07776999,6904790.1617805,229872.8208198073,3.714505788967411,3.4548121591939283,1.9462537549556975,0.8999422107269406,26592256.23955049
20631324.995018166,4952166.306365001,524744.2194082126,3.834692879401443,2.226796931460529,1.6118307189132066,0.8718695124636439,25583491.301383168
13805755.740565654,18705659.48524499,141653.04088316552,3.9926308086065427,2.659931719575264,1.604540958349327,0.8975722664850928,32511415.225810643
11435425.09287605,31169532.495290022,115535.17698485672,3.33929102659488,2.65132859299891,1.9813327207606914,0.8970785051474306,42604957.58816607
22163638.996559586,2624102.2999554994,885655.8795244661,3.9911337898549495,2.187958625344423,1.5906259807084258,0.8970382846257999,24787741.296515085
15497200.953410985,11000351.409455499,169020.0390436872,3.295001019065452,2.2959067072563077,1.6083079138307959,0.8738763322525935,26497552.362866484
523663.2937518961,37275261.58041001,7843.323811352724,3.890210816055468,2.2530250237881178,1.6078395880364942,0.8587568163355666,37798924.87416191
21152849.057120975,3388874.224515,750436.215651829,3.9911337898549495,2.0880501615561644,1.5906259807084258,0.8970382846257999,24541723.281635974
14067210.578390956,13909874.427014992,219664.9429470889,3.331816036090398,2.222156954142325,1.2275823311198957,0.8954647879680606,27977085.005405948
12944211.174591854,27671710.417185485,133276.92913185584,3.9103546213517344,2.223258324808239,1.6247577653147343,0.874325202905091,40615921.59177734
523511.72667026526,37566824.50451,7843.323811352724,3.8898388696300668,2.216983349428985,1.6078395880364942,0.8715463378176245,38090336.231180266
23467737.821072284,1784813.0069455004,998444.9761145505,3.989663755587822,2.673904289295563,1.6190079159421387,0.8975388530544763,25252550.828017786
13159122.371542813,22644843.465595003,133582.19040092276,3.7034360113458855,3.5364458891219726,1.6138394333494515,0.8986700765653113,35803965.83713782
23167340.637822114,1828486.8906760002,998444.9761145505,3.861980487206591,2.65132859299891,1.593683042879253,0.8970041846856184,24995827.528498113
13202860.040569507,22366057.847175498,133582.19040092276,3.995491092492414,2.666561619321864,1.62795960110736,0.8996699282324753,35568917.88774501
2364227.951856717,36263936.74294999,27483.85914005017,3.922914958157478,3.4573603641877972,1.613564218454254,0.2741622609097455,38628164.69480671
22707345.4097044,1858938.7027505005,986796.6976718509,3.989663755587822,2.249002247730985,1.6190079159421387,0.8975388530544763,24566284.1124549
