id,age,condition,material,diameter,length,needs_clea,needs_cipp,needs_poin,no_action,Risk
MH-4-054_MH-4-052,74,1,CP,8,264.6944579,1,0,0,0,1
MH-5-007_MH-5-006,6,6,CIPP,8,248.2736412,0,0,0,1,1
MH-5-006_MH-5-005,6,6,CIPP,8,148.1871252,0,0,0,1,1
MH-5-010_MH-5-009,74,2,DIP,8,99.1581108,0,0,0,1,1
MH-5-009_MH-5-008,6,6,CIPP,8,63.49552029,0,0,0,1,1
MH-5-015_MH-5-014,74,2,PVC,6,212.5156153,0,0,0,1,1
MH-5-014_MH-5-013,74,2,PVC,6,247.10915,0,0,0,1,1
MH-5-023_MH-5-022,74,2,DIP,6,363.3034023,0,0,0,1,1
MH-5-027_MH-5-026,74,1,CP,8,115.3590501,0,1,0,0,1
MH-5-037_MH-5-036,74,2,DIP,6,288.2471709,0,0,0,1,1
MH-5-036_MH-5-035,74,2,DIP,6,155.2713379,0,0,0,1,1
MH-5-043_MH-5-042,74,2,DIP,6,487.0371204,0,0,0,1,1
MH-5-045_MH-5-044,46,1,PVC,8,393.9355049,0,0,1,0,1
MH-6-012_MH-6-011,6,5,CIPP,8,294.4684153,1,0,0,0,1
MH-6-010_MH-6-009,6,6,CIPP,8,346.8217726,0,0,0,1,1
MH-5-063_MH-5-062,74,1,CP,10,132.7392959,1,0,0,0,1
