Investment_Cost,Risk_Cost,Budget,PM_Start,PM_Stop,Rehab_Trigger,Split_Ratio,Total_Cost
1629973.228632755,33596894.263725005,43719.325034708745,2.544335643278896,2.4038167062267295,2.5123125082193543,0.15244853306917386,35226867.49235776
530558.5915967049,35825131.234605,15722.105397925925,2.544335643278896,2.2740972684291934,2.5123125082193543,0.15930167693924702,36355689.82620171
1793814.3188815303,32848029.22494002,45043.33355781137,2.544335643278896,2.403389788531168,2.510237961376221,0.15202552468075706,34641843.54382155
2166479.8663863298,31783592.546509996,43057.643748599075,2.5912051271492236,2.4038167062267295,2.531896534172978,0.11098059373647089,33950072.41289633
7180192.140301571,23018252.542635515,88012.06402611933,2.585223023310844,2.4039404864702982,1.6032372754909532,0.1136648535306041,30198444.682937086
7417012.930599737,21953137.354090508,91678.66730287966,2.577415290129489,2.404766042196599,1.9161865489972962,0.1109405636147916,29370150.284690246
739107.5953375148,35819607.30343002,15493.216296841594,2.715990360492644,2.404518812928131,2.628495296819671,0.1548834080506129,36558714.89876754
7100312.652897453,23264776.08276499,91678.66730287966,2.5500389417916685,2.4047662862101102,1.9161865489972962,0.1109405636147916,30365088.735662445
7383403.813290039,22974698.63808051,89842.29035997714,2.585210415493649,2.4039404864702982,1.596607861303702,0.11313114799805574,30358102.451370552
1021390.0103973147,35397272.64095499,15722.105397925925,2.544335643278896,2.278655637301858,2.0546294808171197,0.15934083205307836,36418662.65135231
1882956.4329135201,32512223.40831549,44301.5362197116,2.577558680402038,2.4038167062267295,2.531896534172978,0.1109424944112737,34395179.841229014
5598569.235057656,24743200.223670006,86903.1592018304,2.5777363454250315,2.4048175280856743,2.4880834395851594,0.11187354944116347,30341769.45872766
5245261.238845247,24881106.982975494,89056.07460841959,2.7174744485080606,2.4047685069920144,2.631228777282182,0.11079663917815828,30126368.221820742
5937033.594758812,23428002.357450005,86903.1592018304,2.5879135283583112,2.404817772099185,2.4878849166454233,0.10827418087830505,29365035.952208817
48042.743914089995,36913391.43594999,16330.972809657113,2.531156377874307,2.393850347546368,2.530889517713002,0.12025401468106893,36961434.17986408
