Time,SOe,SIe,SSe,SNHe,SN2e,SNOe,SALKe,XIe,XSe,XBHe,XSTOe,XBAe,TSSe,Qe
23,0.573097628803578,28.9350361383794,0.266078525321483,9.06154362843185,18.9915923410005,5.86373029902656,5.17461561902223,5.74117860302182,1.09803232448206,6.97072464191456,1.80216443799204,0.444281315695036,12.884706589667,21899.2614963313
23.0104166666667,0.568291441533752,28.9221901801554,0.265314099597549,8.94965511352889,18.8340071157902,5.86311594119994,5.18411494097639,5.89050717353798,1.1238709494579,7.15098708637276,1.85232880084559,0.45572909956173,13.2187318833222,23564.7394426883
23.0208333333333,0.559765831985634,28.915715509958,0.264540158000745,8.79245318531826,18.6980990392894,5.87778349886679,5.19016158114252,6.12219715198393,1.16675399110361,7.43081794039361,1.92982232086058,0.473461472847489,13.7389837422116,25165.0349900903
23.03125,0.545456044605161,28.9146609336896,0.263809930153266,8.5846266371491,18.5958792472492,5.90894034282253,5.19188483192595,6.39350842838755,1.21743140316404,7.75882307847064,2.0205910959396,0.494204128328745,14.3488319589125,26627.4268146958
23.0416666666667,0.525610277875967,28.9161850626425,0.263155836193375,8.32523730749944,18.5368611169473,5.95515682158841,5.18892332195654,6.66939328107154,1.26838951552139,8.09293370947825,2.11292512257537,0.515280920062007,14.9690560584369,27943.7076739993
23.0520833333333,0.503028348214471,28.9153246120838,0.262556704638432,8.02107412154593,18.5246576167151,6.01175805062979,5.18170113846664,6.91678642882689,1.31280948457772,8.39339117232095,2.19575603198538,0.53417120002732,15.5250477392679,28627.345858938
23.0625,0.481576798470958,28.9055311431584,0.261934599997716,7.68922665007462,18.5531045218522,6.07122760973656,5.17159842591216,7.07891249273605,1.33921932138258,8.59159074797108,2.25028942455268,0.546538208290393,15.8886926901405,28298.5939189246
23.0729166666667,0.464892910809327,28.8801431775989,0.261180864021212,7.3485763563915,18.6072203449904,6.12635975044959,5.16046544384687,7.12353116636567,1.34124553144235,8.64836648683253,2.26578371919081,0.549925438431736,15.9871226889243,27572.5829220172
23.0833333333333,0.455376828215373,28.8332878738133,0.260194779521619,7.01214247014556,18.6700300227401,6.1726374194525,5.14989997360711,7.0738812454603,1.32385897542697,8.59154075538577,2.24977506673438,0.546123250283432,15.8726701220834,26605.0388733156
23.09375,0.453489186752282,28.7605053247412,0.258921347107356,6.68823622413804,18.7271074786962,6.20808136793444,5.14100972645353,6.95942706125077,1.29323817342426,8.45649218900061,2.21195851834509,0.537391274052749,15.6117611151944,25481.9457769033
23.1041666666667,0.458316174329646,28.6592589463371,0.25735726224475,6.38083963876803,18.7685864690625,6.23271720729701,5.13437099100294,6.80434413031692,1.2543746365475,8.27229791274689,2.16033722512626,0.525579548933567,15.2589093387112,24303.9760781498
23.1145833333333,0.46829368868045,28.5294859879971,0.255536055547981,6.09128951154832,18.7893420654136,6.24776334432801,5.13013084460084,6.62497804786251,1.21060988251425,8.05865051343552,2.1003624616152,0.511935515322548,14.8509983090002,23022.1599278244
23.125,0.481647792536946,28.3739985861474,0.253509958072335,5.81977171347192,18.7883700050439,6.25500196936585,5.12812959747473,6.43004300535772,1.16372781778563,7.82605739626719,2.03498109275763,0.497120181990577,14.4077220338982,21654.7676372216
23.1354166666667,0.496775913334628,28.1978456594349,0.251332072172982,5.56551792580748,18.7677790600813,6.25636204479135,5.12801143350084,6.22590025068944,1.11503053155837,7.58220344276654,1.96634352772834,0.4816142776508,13.9434678516773,20251.1333270416
23.1458333333333,0.512454128444031,28.0071029716698,0.249046069944463,5.32709633352966,18.7314378795141,6.253599938857,5.12934113584158,6.01887880780279,1.06580382237819,7.33474577494118,1.8965594656745,0.465896998168022,13.4725359193891,18874.5770423915
23.15625,0.527910676475196,27.80761654906,0.246682449921189,5.10264621166956,18.6837277982483,6.24812349214063,5.1316962567236,5.81555138579448,1.01736351012176,7.0916451860462,1.82779280429006,0.450467662358512,13.0097556252129,17583.3949282539
23.1666666666667,0.542786410877599,27.6042156009489,0.244259403173967,4.89013287650303,18.6287112863781,6.24094376307305,5.13472034384343,5.62183504739751,0.970873012593359,6.86007763527761,1.76197699050195,0.435776765009341,12.5684617005231,16410.867659913
23.1770833333333,0.556943830592765,27.4009074202627,0.241788546234952,4.68798344635211,18.56989267528,6.2327307624522,5.13813206715264,5.44086658646837,0.926947488499054,6.64385003113815,1.70013760784909,0.422062017828247,12.155723876556,15305.8848010201
23.1875,0.570259534600433,27.2015224871578,0.239281404185157,4.49568126186021,18.510340535984,6.22391451570123,5.14170845680428,5.27209653847124,0.88550583589413,6.44229018939785,1.64210730648021,0.409278064026145,11.7703229794843,14204.5268803802
23.1979166666667,0.582755267417274,27.0089796820431,0.236745791499572,4.31292577834003,18.4524510435218,6.21470749413829,5.1452917856048,5.11494973922685,0.846452213327171,6.25470256515197,1.58770217748788,0.397378973372368,11.410978028685,13186.7957142829
23.2083333333333,0.594718095249595,26.8246136557439,0.234181955543119,4.13889417496943,18.3977422607152,6.2051086638523,5.14879755722969,4.97056959583989,0.809986029116161,6.0824962974441,1.53728331622616,0.386452690993841,11.0802602605651,12282.8804965309
