InfluentCondition,InfluentSourceStartDay,Iter,AirReduc_,ReducDura,StartTime,ReductionDaysPattern,SOe,SIe,SSe,SNHe,SN2e,SNOe,SALKe,XIe,XSe,XBHe,XSTOe,XBAe,TSSe,Qe,COD,Failure,AE_orig_kWhd,AE_new_kWhd,SRT_d,COD_p95,SNHe_p95,EQI,EQI_new,IQI,IQI_new
1,0,0,240,240,240,d1_2_3_4_5_6_7,1.21399364904805,27.6898454789906,0.204729050217313,1.51409908357885,18.1785910289869,7.50384709599163,4.94434124546309,5.77867357679867,0.91583688495012,7.08571035863708,1.47449737356203,0.505380183202755,12.8509940725527,21417.2196466753,43.6546729063586,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,240,240,240,d1_2_3_4_5_6_7,1.21399364904805,27.6898454789906,0.204729050217313,1.51409908357885,18.1785910289869,7.50384709599163,4.94434124546309,5.77867357679867,0.91583688495012,7.08571035863708,1.47449737356203,0.505380183202755,12.8509940725527,21417.2196466753,43.6546729063586,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0.9,1,8,d1_3_5,0.963620096167646,28.396964250999,0.219885644530272,9.9827047654761,19.3539042536187,6.08807435962834,5.10635782527191,5.50039266384756,0.980934383302622,7.48491743550089,1.7809232925092,0.415733026877597,13.0450830607099,19314.7798375011,44.7797506975671,1,8501.91120000001,4247.82666666667,9.08913905670513,49.479233614483,16.7102034893431,8217.51146054812,9163.15214497772,NaN,NaN
1,0,1,0.9,1,8,d1_3_5,0.962920785174271,28.3969642507529,0.219159099978855,9.97950796009368,19.3654197877069,6.08818241181641,5.1061217639849,5.52238854297766,0.978462471256992,7.4916067471902,1.77691887806942,0.415310676540361,13.0594333149781,19314.7798343602,44.8008106667664,1,8501.91120000001,4247.82666666667,9.09145333360727,49.5020492699563,16.7067508437981,8217.91664639886,9163.25165025693,NaN,NaN
1,0,2,0.9,1,12,d1_3_5,0.965909940714817,28.3969642518514,0.219926975363152,9.98793660767572,19.3501582746731,6.08643578971891,5.10684856902039,5.5002600156153,0.980912935558911,7.48511132025551,1.78115794869941,0.415641709932267,13.0452006528219,19314.779840332,44.779975157276,1,8501.9112,4247.82666666667,9.08916169191083,49.4795657442048,16.7236119544841,8218.9164580486,9165.8840295033,NaN,NaN
1,0,2,0.9,1,12,d1_3_5,0.965221785853916,28.3969642517959,0.219199343217307,9.98487562550559,19.3615783864024,6.08650509793826,5.10662497681482,5.52225862400743,0.978439917929771,7.49181067492613,1.77715346979232,0.415215326110696,13.0595574347408,19314.7798438617,44.8010416077795,1,8501.9112,4247.82666666667,9.09147680518875,49.5023945689708,16.721736497589,8219.35983952164,9166.05556394327,NaN,NaN
1,0,3,0.9,1,16,d1_3_5,0.966467032878484,28.396964252289,0.219958750694388,9.98762629560589,19.3516557754885,6.08526138139723,5.10691029018936,5.5002782626935,0.980920056078043,7.48503778699553,1.78114866688676,0.415665664048346,13.0451694496483,19314.7798436762,44.7799734396856,1,8501.9112,4247.82666666667,9.08915759983818,49.4796098383248,16.7072986020181,8218.34029768468,9165.4742679793,NaN,NaN
1,0,3,0.9,1,16,d1_3_5,0.96579207004007,28.3969642518933,0.219231206261214,9.98470045506481,19.3630003316746,6.08526987006414,5.10670069519311,5.52227381927823,0.978446607200111,7.49174248464453,1.77714795131792,0.415236324651324,13.0595280499551,19314.7798428151,44.8010426452466,1,8501.9112,4247.82666666667,9.09147320694838,49.5024404669925,16.704992139843,8218.81264087818,9165.71261158621,NaN,NaN
1,0,4,0.9,2,8,d1_3_5,0.953948758555625,28.3969642511717,0.219918230222478,9.99994686189191,19.3448466318114,6.07946162892322,5.1082045985965,5.49999760176452,0.980869757991818,7.48550395397678,1.78158888451996,0.415468683301699,13.0454277115867,19314.7798356674,44.780311362949,1,8455.4064,4230.05333333333,9.08920079941048,49.4799728541102,16.7316419224969,8220.89090313742,9171.52529099061,NaN,NaN
1,0,4,0.9,2,8,d1_3_5,0.953301876147606,28.396964251054,0.219188202328,9.99759815213365,19.3558186723081,6.07926598322519,5.10805080830782,5.52199268715458,0.978393453064477,7.49223910080049,1.77759400000277,0.415024231229032,13.0598010340089,19314.7798318853,44.8013959256333,1,8455.4064,4230.05333333333,9.09151858102161,49.5028184727381,16.7309851951631,8221.50897110031,9172.06046831699,NaN,NaN
1,0,5,0.9,2,12,d1_3_5,0.961156719720816,28.3969642513931,0.21999804335372,10.0061223298434,19.3409086188512,6.07693236470941,5.10882636520762,5.49975881521099,0.980835802320149,7.48576817945814,1.78201033542857,0.415368418320422,13.0456236566367,19314.7798446512,44.780703845485,1,8455.4064,4230.05333333333,9.08924070733035,49.4805563395967,16.7491972101595,8222.32825189137,9174.64344392494,NaN,NaN
