InfluentScenarioID,InfluentFile,CycleIdx,CycleStartDay,Iter,AirReduc_,ReducDura,StartTime,ReductionDaysPattern,TankSelection,SOe,SIe,SSe,SNHe,SN2e,SNOe,SALKe,XIe,XSe,XBHe,XSTOe,XBAe,TSSe,Qe,COD,Failure,AE_orig_kWhd,AE_new_kWhd,SRT_d,COD_p95,SNHe_p95,EQI,EQI_new,IQI,IQI_new
1,influent_001.mat,1,150,8,0.377689199,2,10,Wknd,T45,0.000650684,29.89449951,16.49274535,33.62155121,2.842536967,0.007816592,7.47638079,16.59498758,1.998690648,23.56754527,6.730197672,0.058313209,39.24664991,18524.88802,95.33697925,1,8214.965871,4118.126169,13.72427771,158.8265566,38.04614899,17896.46188,24672.76406,62496.96369,72641.31348
1,influent_001.mat,1,150,8.5,0.377689199,2,10,Wknd,T45,3.51E-07,29.71188229,29.60278548,34.80555864,4.323245495,0.000166959,7.410102227,23.72700152,2.264603362,32.57366172,9.081586093,0.123898472,54.37045949,17230.42524,127.0854189,1,6811.128,3519.12,14.0115291,279.0501278,39.2508692,19055.7561,25764.49121,62671.23873,72930.09399
1,influent_001.mat,1,150,9,0.787246839,1.25,15,TTh,T35,0.000675536,29.89449951,16.14766496,33.54100529,2.940739901,0.00828949,7.470593732,16.46970927,1.982209823,23.36439369,6.617315298,0.059301973,38.8906546,18524.88802,94.53509453,1,8484.390152,4240.391114,13.7292259,158.2902739,37.8056268,17814.04209,24570.82501,62496.96369,72641.31348
1,influent_001.mat,1,150,9.5,0.787246839,1.25,15,TTh,T35,3.49E-07,29.71188229,29.57977463,34.67495267,4.453564554,0.000173128,7.400772788,23.75959519,2.26606601,32.58156487,9.084729203,0.127895127,54.40859742,17230.42524,127.1115073,1,6811.128,3519.12,14.01103909,279.2270249,39.11788425,19013.36355,25700.10471,62671.23873,72930.09399
1,influent_001.mat,1,150,10,0.086820107,4.25,12,Daily,T5,0.000267211,29.89449951,19.32906432,34.08520638,2.221262868,0.004204115,7.50975705,17.46019858,2.11099037,25.11437291,7.45346357,0.050636553,41.79897838,18524.88802,101.4132258,1,8101.949249,4049.196658,13.70239843,164.6554844,38.40418303,18461.68487,25357.80684,62496.96369,72641.31348
1,influent_001.mat,1,150,10.5,0.086820107,4.25,12,Daily,T5,3.65E-07,29.71188229,29.72961016,35.59667146,3.538986063,0.000131971,7.466612784,23.54876662,2.256100081,32.51889844,9.060146372,0.100159339,54.14688985,17230.42524,126.9255633,1,6811.128,3519.12,14.01434853,278.0273849,40.05370498,19312.53355,26154.60344,62671.23873,72930.09399
1,influent_001.mat,1,150,11,0.507046203,8,16,Daily,T34,5.15E-05,29.89449951,20.34893213,34.69240944,1.40091815,0.00124904,7.553339775,19.35195168,2.354878756,28.45220137,9.062603219,0.039450433,47.36017139,18524.88802,109.5045171,1,7450.729335,3798.323619,13.64116344,200.8540245,38.58946133,19325.54777,26406.83531,62496.96369,72641.31348
1,influent_001.mat,1,150,11.5,0.507046203,8,16,Daily,T34,3.87E-07,29.71188229,29.88354859,36.74801806,2.396914642,8.49E-05,7.54885519,23.23135998,2.242071079,32.44341184,9.028185346,0.066617799,53.78101118,17230.42524,126.6070769,1,6811.128,3519.12,14.01896805,276.2824517,41.2119042,19681.65146,26717.23038,62671.23873,72930.09399
1,influent_001.mat,1,150,12,0.735141892,7.75,8,MWF,T35,0.000448608,29.89449951,16.92327681,33.77714353,2.649289584,0.005907364,7.487630901,16.85322831,2.030643202,24.02667366,6.906623951,0.055984326,39.9812702,18524.88802,96.69092977,1,7919.668612,4014.538056,13.71945929,160.2818008,37.96251333,18050.62137,24865.97737,62496.96369,72641.31348
1,influent_001.mat,1,150,12.5,0.735141892,7.75,8,MWF,T35,3.55E-07,29.71188229,29.64032014,35.02612563,4.10549405,0.00015716,7.425857712,23.69170139,2.262663016,32.55776413,9.075847832,0.117249531,54.3187943,17230.42524,127.0574283,1,6811.128,3519.12,14.01217461,278.8283669,39.47414053,19128.33547,25874.3878,62671.23873,72930.09399
1,influent_001.mat,1,150,13,0.37379688,4,9,TTh,T34,0.000380318,29.89449951,16.94960408,33.81395358,2.595000342,0.005703066,7.490274783,17.00683296,2.049660782,24.30003627,7.017386416,0.055562869,40.42284139,18524.88802,97.27358289,1,7878.130734,3968.807552,13.71600712,161.2287858,38.16867214,18112.71705,24940.8231,62496.96369,72641.31348
