Investment_Cost,Risk_Cost,Budget,PM_Start,PM_Stop,Rehab_Trigger,Split_Ratio,Total_Cost
17013108.226599384,8265780.507925499,311014.56114624813,2.838536994847896,2.713233179767043,2.9395242516667244,0.549433344663405,25278888.734524883
17343603.722312305,7479815.062521001,317065.35555892385,2.838536994847896,2.5795871870062195,2.997165232012839,0.549433344663405,24823418.784833305
13133046.27388249,14017195.735659994,175805.2277224649,2.838536994847896,2.5795871870062195,2.9296647903020645,0.7503518270693559,27150242.009542484
17622566.063163586,7462723.604955001,317065.35555892385,2.9067603187533404,2.713233179767043,2.9796721952355387,0.5581346626463173,25085289.66811859
18197928.93939998,7180203.939555501,319694.63164731994,2.972806787228229,2.6905154769206856,2.989859000677523,0.5715392176218939,25378132.87895548
17017809.637206487,7604731.7944800025,311014.56114624813,2.838536994847896,2.7071868972318756,2.9381602780426097,0.549433344663405,24622541.43168649
11652871.079186644,31089889.82664498,168544.7948954809,3.162555980785828,3.033402483029146,2.964910247613202,0.11147344930274727,42742760.90583162
13701011.423339289,12450636.8648855,177992.26386547257,2.838536994847896,2.713233179767043,2.9395242516667244,0.7730990699660596,26151648.288224787
16209223.29432598,8594052.126925,308827.52500681306,2.838536994847896,2.5795871870062195,2.9296647903020645,0.5266860109305547,24803275.42125098
5251278.058519406,33727377.73445552,66391.44610801656,2.838588458477296,2.57764395681569,1.7928177296724077,0.10695593519976074,38978655.79297493
8601057.472087665,31480622.33617999,118134.99709176712,3.158373393758729,3.029548661371776,1.7906598766629243,0.11147344930274727,40081679.80826765
21912883.274798676,6599881.289675001,290903.2270016067,2.838536994847896,2.7099522488322467,2.9296647903020645,0.7567019954257064,28512764.564473677
13334536.374435915,13931667.742910495,178469.94771135625,2.833072199089263,2.570145658627645,2.929653126947981,0.7503518270693559,27266204.11734641
5279647.891230846,33705197.1235505,66391.44610801656,2.839165280440372,2.57764395681569,1.7928177296724077,0.10695593519976074,38984845.01478134
16115723.89504458,9404140.61373,307273.60612553864,2.838536994847896,2.6148685081328535,2.919343618437239,0.5266860109305547,25519864.50877458
12575266.61457328,16346213.056185002,933868.6189448944,2.8507492694176872,2.57764395681569,2.9376622690631713,0.13531189140185762,28921479.67075828
4869023.288253621,33802191.337799996,66391.44610801656,2.838588458477296,2.599971208052094,1.8340765585045593,0.10709208734417548,38671214.62605362
635759.3486868101,37190879.783870526,66391.44610801656,2.838588458477296,2.6009625499057805,2.9195743635793914,0.10747976131630041,37826639.13255733
624037.5407520698,37606809.09857051,66391.44610801656,2.838588458477296,2.5856025710948183,2.914606250878716,0.10709208734417548,38230846.63932258
19241076.855780378,6992520.953240001,263441.0028609357,2.8379588672281515,2.5795871870062195,2.9671308131642955,0.7332584406696618,26233597.809020378
